id,cons,vmax,blank,vmin,spect,vart,component,rah,ram,ras,decd,decm,decs,epoch,d,zero,period,e0_hjd,phase_secondary
RT,And,8.97,-,9.83,EA/RS,F8V+K1,ALL,23,11,10.1,53,1,33.0,2000,0.1,0,0.6289292,2452500.3476,0.5
SY,And,10.7,-,12.2,EA,A0+K1,PRI,0,13,16.4,43,42,41.4,2000,2.1,0,34.90892,2452530.72,0.5
TT,And,11.5,-,13.1,EA,A,PRI,23,13,22.9,46,8,51.1,2000,0.2,0,2.765096,2452501.121,0.5
TW,And,8.98,-,11.04,EA,F0V+K0,PRI,0,3,18.2,32,50,45.1,2000,0.5,0,4.1227286,2452501.8802,0.5
UU,And,11.2,-,14.2,EA,A8IV/V,PRI,0,43,45.1,30,56,19.6,2000,0.3,0,1.486324,2452500.289,0.5
WW,And,10.92,-,0.67,EA,A5+F3p,ALL,23,44,53.5,45,41,11.5,2000,1.2,0,23.28525,2452501.244,0.5
WX,And,12.1,-,13.8,EA,F5IV,PRI,0,45,37.3,28,45,0.2,2000,0.4,0,3.001186,2452502.38,0.5
WZ,And,11.16,-,12.0,EB,F5,PRI,1,1,43.6,38,5,47.0,2000,0.0,0,0.6956635,2452500.238,0.5
XZ,And,9.91,-,12.45,EA,A1V,PRI,1,56,51.5,42,6,2.2,2000,0.2,0,1.3573027,2452500.474,0.5
AA,And,10.3,-,11.2,EB,B8V,PRI,23,5,22.8,47,40,34.7,2000,0.0,0,0.9350964,2452500.729,0.5
AB,And,9.49,-,10.46,EW,G5+G5V,ALL,23,11,32.1,36,53,35.1,2000,0.0,0,0.3318895,2452500.074,0.5
AD,And,11.2,-,0.62,EB,A0V,ALL,23,36,45.0,48,40,15.6,2000,0.0,0,0.986182,2452500.55,0.5
AM,And,12.5,-,13.7,EA,,PRI,0,5,7.5,48,27,5.4,2000,0.7,0,8.850546,2452504.11,0.5
AN,And,5.96,-,6.11,EB,A7mIII-IV,ALL,23,18,23.3,41,46,25.2,2000,0.0,0,3.219562,2452502.621,0.5
AP,And,11.3,-,11.9,EA,F5,ALL,23,49,30.7,45,47,21.3,2000,0.2,0,1.5872913,2452500.2116,0.5
AS,And,13.8,-,15.2,EA,,PRI,23,39,1.8,47,14,48.6,2000,0.0,0,2.4206098,2452500.1827,0.5
BD,And,11.3,-,11.7,EB,F8,ALL,23,7,5.2,50,57,30.9,2000,0.0,0,0.9258051,2452500.394,0.5
BL,And,11.15,-,0.77,EB,A0,PRI,23,11,24.3,51,52,31.3,2000,0.0,0,0.7223752,2452500.3818,0.5
BO,And,13.4,-,16.3,EA,B8,PRI,22,58,38.2,45,31,51.7,2000,0.6,0,5.79741,2452503.63,0.5
BS,And,15.3,-,17.2,EA,,pri,23,12,47.0,51,52,25.8,2000,0.4,0,3.14617,2452502.45,0.5
BX,And,8.87,-,9.53,EB,F2V,ALL,2,9,3.4,40,47,39.2,2000,0.0,0,0.6101065,2452500.362,0.5
CD,And,9.9,-,10.4,EA,F8,ALL,1,26,28.4,44,21,25.0,2000,4.1,0,68.8873,2452522.6,0.5
CN,And,9.62,-,10.21,EB,F5V,PRI,0,20,30.5,40,13,33.8,2000,0.0,0,0.4627899,2452500.123,0.5
CO,And,11.1,-,12.1,EA,F8,ALL,1,11,24.8,46,57,49.4,2000,0.3,0,3.6553351,2452503.3523,0.5
CP,And,11.4,-,12.9,EA,A5,PRI,2,12,51.2,45,37,51.6,2000,0.4,0,3.6089588,2452501.3725,0.5
CU,And,12.5,-,16.0,EA,,PRI,23,1,1.6,49,58,25.3,2000,0.3,0,1.7159792,2452501.3087,0.5
CZ,And,12.4,-,13.0,EA,A6,PRI,23,9,0.9,49,36,51.5,2000,0.2,0,2.7171947,2452502.2538,0.5
